DESCRIPTIO,SITE,SITEDESCRI,Category,
PLEQ-Module-Small-Jnr-Beach,11210,Shoesmith Domain Recreation Reserve,PLEQ-Module-Small-Jnr-Beach,
PLEQ-Module-Small-Jnr-Slide,21147,Takapuna Rose Gardens,PLEQ-Module-Small-Jnr-Slide,
PLEQ-Module-Small-Navigator,20653,Totara Views Reserve,PLEQ-Module-Small-Navigator,
PLEQ-Module-Small-Navigator,22229,Fernhill Reserve,PLEQ-Module-Small-Navigator,
PLEQ-Module-Small-Open Slide,11080,Seine Reserve,PLEQ-Module-Small-Open Slide,
PLEQ-Module-Small-overhead-HolidayPk,11273,Orewa Reserve,PLEQ-Module-Small-overhead-HolidayPk,
PLEQ-Module-Small-Preschool,11058,Okura Reserve,PLEQ-Module-Small-Preschool,
PLEQ-Module-Small-Preschool,22167,Monarch Park,PLEQ-Module-Small-Preschool,
PLEQ-Module-Small-Preschool,21147,Takapuna Rose Gardens,PLEQ-Module-Small-Preschool,
PLEQ-Module-Small-Preschool,10935,Greenhithe War Memorial Park,PLEQ-Module-Small-Preschool,
PLEQ-Module-Small-Slide,20800,Vandeleur Reserve,PLEQ-Module-Small-Slide,
PLEQ-Monkey bar,10619,Walter Massey Park,PLEQ-Monkey bar,
PLEQ-Monkey bar-E of p/grnd,10467,Omana Regional Park,PLEQ-Monkey bar-E of p/grnd,
PLEQ-Monkey Bars,22211,Durbin Reserve,PLEQ-Monkey Bars,
PLEQ-Monkey bars-West side of p/grnd,10467,Omana Regional Park,PLEQ-Monkey bars-West side of p/grnd,
PLEQ-Mosaic Hop Scotch,11247,Warkworth Service Centre & Library Grou.,PLEQ-Mosaic Hop Scotch,
PLEQ-Mushroom table & 4 Stools (N),11088,Wairoa Road Reserve,PLEQ-Mushroom table & 4 Stools (N),
PLEQ-Mushroom table & 4 Stools (S),11088,Wairoa Road Reserve,PLEQ-Mushroom table & 4 Stools (S),
PLEQ-Mushroom table & seats,22009,Mairangi Bay Village Green,PLEQ-Mushroom table & seats,
PLEQ-Noughts & Crosses-Plateau LEASED,11272,Martins Bay Grounds,PLEQ-Noughts & Crosses-Plateau LEASED,
PLEQ-Overhead,22471,Muriwai Beach Playground (DOC),PLEQ-Overhead,
PLEQ-Overhead Bars,11247,Warkworth Service Centre & Library Grou.,PLEQ-Overhead Bars,
PLEQ-Overhead Event,20006,Normanton Reserve,PLEQ-Overhead Event,
PLEQ-Overhead Event,12941,Allenby Reserve - Narrow Neck,PLEQ-Overhead Event,
PLEQ-Overhead Event,22161,Lynn Reserve,PLEQ-Overhead Event,
PLEQ-Overhead Event,21156,Teviot Reserve,PLEQ-Overhead Event,
PLEQ-Overhead Event,20856,Taurus Crescent Reserve,PLEQ-Overhead Event,
PLEQ-Overhead Event,20332,Plymouth Reserve,PLEQ-Overhead Event,
PLEQ-Overhead Event-Track Ride,20303,Montgomery Reserve,PLEQ-Overhead Event-Track Ride,
PLEQ-Overhead-Monkey Bars,22208,Devonshire Reserve,PLEQ-Overhead-Monkey Bars,
PLEQ-Overhead-Multiple,22208,Devonshire Reserve,PLEQ-Overhead-Multiple,
PLEQ-Periscope,11115,Opaketai Beach Haven Garden,PLEQ-Periscope,
PLEQ-Pirate ship rope tower,21933,Sandspit Reserve - Waiuku,PLEQ-Pirate ship rope tower,
PLEQ-Pirate tower rope structure,23845,Swell Park,PLEQ-Pirate tower rope structure,
PLEQ-Plastic tunnel in barn,10699,Mangere Mountain Education Centre,PLEQ-Plastic tunnel in barn,
PLEQ-Plastic tunnel in childrens garden,10699,Mangere Mountain Education Centre,PLEQ-Plastic tunnel in childrens garden,
PLEQ-Plastic tunnel in childrens garden,10699,Mangere Mountain Education Centre,PLEQ-Plastic tunnel in childrens garden,
PLEQ-Play Hut,10927,Onepoto Domain,PLEQ-Play Hut,
PLEQ-Play Hut with slide,22183,Pemberton Reserve,PLEQ-Play Hut with slide,
PLEQ-Play Hut-With Climber,10927,Onepoto Domain,PLEQ-Play Hut-With Climber,
PLEQ-Play Hut-With Slide,10927,Onepoto Domain,PLEQ-Play Hut-With Slide,
PLEQ-Play posts,10591,Manukau Sports Bowl,PLEQ-Play posts,
PLEQ-Poles,10383,Murphy Park,PLEQ-Poles,
PLEQ-Pommel swing,21933,Sandspit Reserve - Waiuku,PLEQ-Pommel swing,
PLEQ-Preludic flying fox,11096,Marlborough Park,PLEQ-Preludic flying fox,
PLEQ-Rider-Whale,23359,Northcote Shops,PLEQ-Rider-Whale,
PLEQ-rocker boat,23845,Swell Park,PLEQ-rocker boat,
PLEQ-Rocker-Two Seat,20888,Jean Sampson Reserve,PLEQ-Rocker-Two Seat,
PLEQ-Rocking dinghy,21933,Sandspit Reserve - Waiuku,PLEQ-Rocking dinghy,
PLEQ-Rocks&Stepping logs,21933,Sandspit Reserve - Waiuku,PLEQ-Rocks&Stepping logs,
PLEQ-Rockskate,10596,Leabank Park,PLEQ-Rockskate,
PLEQ-Rockskate,10596,Leabank Park,PLEQ-Rockskate,
PLEQ-Roctopus,20006,Normanton Reserve,PLEQ-Roctopus,
PLEQ-Roctopus,22154,Tuna Place Reserve,PLEQ-Roctopus,
PLEQ-Roctopus,21628,Roundtree Reserve,PLEQ-Roctopus,
PLEQ-Roctopus,22009,Mairangi Bay Village Green,PLEQ-Roctopus,
PLEQ-Roctopus,21073,Linwood Reserve,PLEQ-Roctopus,
PLEQ-Roctopus,21819,Brylee Drive Reserve,PLEQ-Roctopus,
PLEQ-Roctopus-Nthn Boat,11273,Orewa Reserve,PLEQ-Roctopus-Nthn Boat,
PLEQ-Rope climber,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Rope climber,
PLEQ-rope walk,22304,Bronzewing Reserve,PLEQ-rope walk,
PLEQ-Rope Walk Bridge,11247,Warkworth Service Centre & Library Grou.,PLEQ-Rope Walk Bridge,
PLEQ-Rope Wall Climber,11247,Warkworth Service Centre & Library Grou.,PLEQ-Rope Wall Climber,
PLEQ-Rotating climber,20263,Parkhaven Reserve,PLEQ-Rotating climber,
PLEQ-Rotating cone climber,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Rotating cone climber,
PLEQ-Roundabout,11066,Kennedy Park,PLEQ-Roundabout,
PLEQ-Roundabout,23021,Pukekohe Town Centre Grnds,PLEQ-Roundabout,
PLEQ-Roundabout,10383,Murphy Park,PLEQ-Roundabout,
PLEQ-Roundabout,21540,Topland Park,PLEQ-Roundabout,
PLEQ-Roundabout,10596,Leabank Park,PLEQ-Roundabout,
PLEQ-Roundabout,22162,Point Wells Community Centre,PLEQ-Roundabout,
PLEQ-Roundabout - Sit On-22003,22695,Kevan Lawrence Park,PLEQ-Roundabout - Sit On-22003,
PLEQ-Roundabout-Classic,20299,Melrose Reserve,PLEQ-Roundabout-Classic,
PLEQ-Roundabout-Kidabout Carousel,22009,Mairangi Bay Village Green,PLEQ-Roundabout-Kidabout Carousel,
PLEQ-Roundabout-Nth end of reserve,20907,Clavoy Park,PLEQ-Roundabout-Nth end of reserve,
PLEQ-Roundabout-supernova,21429,Sutton Park,PLEQ-Roundabout-supernova,
PLEQ-Sand Pit-Boat shape,22175,Port Albert Wharf Reserve,PLEQ-Sand Pit-Boat shape,
PLEQ-Sand Play,11066,Kennedy Park,PLEQ-Sand Play,
PLEQ-Sandpit,11392,Herald Island Domain,PLEQ-Sandpit,
PLEQ-sandpit,24041,Lake Town Green,PLEQ-sandpit,
PLEQ-Sculpture-3 open seeds,21368,Hobsonville Point Park,PLEQ-Sculpture-3 open seeds,
PLEQ-Sculpture-5 seeds,21368,Hobsonville Point Park,PLEQ-Sculpture-5 seeds,
PLEQ-Sculpture-Climbing Pods,21368,Hobsonville Point Park,PLEQ-Sculpture-Climbing Pods,
PLEQ-Sculpture-Climbing timber,10933,Kell Park,PLEQ-Sculpture-Climbing timber,
PLEQ-Sculpture-Kowhai seed,21368,Hobsonville Point Park,PLEQ-Sculpture-Kowhai seed,
PLEQ-Sculpture-lge closed pods,21368,Hobsonville Point Park,PLEQ-Sculpture-lge closed pods,
PLEQ-Sculpture-lge open pods,21368,Hobsonville Point Park,PLEQ-Sculpture-lge open pods,
PLEQ-Sculpture-Nikau seed,21368,Hobsonville Point Park,PLEQ-Sculpture-Nikau seed,
PLEQ-Sculpture-Pigeonwood seed,21368,Hobsonville Point Park,PLEQ-Sculpture-Pigeonwood seed,
PLEQ-Seasaw,11232,Algies Bay Reserve,PLEQ-Seasaw,
PLEQ-Seat panels-2 plastic,11247,Warkworth Service Centre & Library Grou.,PLEQ-Seat panels-2 plastic,
PLEQ-See saw,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-See saw,
PLEQ-Seesaw,22604,Ferry Rd/ Hawaiian Pde Junction,PLEQ-Seesaw,
PLEQ-Seesaw,10596,Leabank Park,PLEQ-Seesaw,
PLEQ-Seesaw,10568,Awhitu Hall,PLEQ-Seesaw,
PLEQ-Seesaw,23845,Swell Park,PLEQ-Seesaw,
PLEQ-Seesaw - Standard,20007,Windsor Reserve,PLEQ-Seesaw - Standard,
PLEQ-Seesaw spinner,10998,Devonport Domain,PLEQ-Seesaw spinner,
PLEQ-Seesaw spinner,11064,Bond Reserve - Forrest Hill,PLEQ-Seesaw spinner,
PLEQ-Seesaw-22006,10383,Murphy Park,PLEQ-Seesaw-22006,
PLEQ-Seesaw-Caterpillar,21968,Sanders Reserve,PLEQ-Seesaw-Caterpillar,
PLEQ-Seesaw-Hip Hop Seasaw,11104,Hinemoa Park,PLEQ-Seesaw-Hip Hop Seasaw,
PLEQ-Seesaw-Rotating,11033,Lindisfarne,PLEQ-Seesaw-Rotating,
PLEQ-Seesaw-Snake,22167,Monarch Park,PLEQ-Seesaw-Snake,
PLEQ-Seesaw-Spring double-Jnr area Beach,11275,Stanmore Bay Park,PLEQ-Seesaw-Spring double-Jnr area Beach,
PLEQ-Seesaw-Spring-Holiday Pk LEASED,11272,Martins Bay Grounds,PLEQ-Seesaw-Spring-Holiday Pk LEASED,
PLEQ-Seesaw-Spring-Leisure P/grd,11275,Stanmore Bay Park,PLEQ-Seesaw-Spring-Leisure P/grd,
PLEQ-Seesaw-Spring-W side,22668,Millwater Park Playground Reserve,PLEQ-Seesaw-Spring-W side,
PLEQ-Seesaw-Springy,21976,Shelter Reserve,PLEQ-Seesaw-Springy,
PLEQ-Seesaw-Springy-By module SE area,22606,Chatham Hill Reserve,PLEQ-Seesaw-Springy-By module SE area,
PLEQ-Seesaw-Standard,22189,Sapphire Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,20299,Melrose Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,10998,Devonport Domain,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,22107,Heath Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,21073,Linwood Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,20800,Vandeleur Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,22221,Linley Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,20075,Manuka Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,21126,Selwyn Reserve - Forrest Hill,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard,22161,Lynn Reserve,PLEQ-Seesaw-Standard,
PLEQ-Seesaw-Standard Spring,11263,Victor Eaves Park,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,11205,Riverhead War Memorial Park,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,12941,Allenby Reserve - Narrow Neck,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,20749,Jamie Hansen Park,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,22471,Muriwai Beach Playground (DOC),PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,20661,Maygrove Reserve,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,23654,Major Henry Greens,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,20026,Bath Street Reserve,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,11064,Bond Reserve - Forrest Hill,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,10960,Achilles Crescent Reserve,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,22152,Sherwood Reserve,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,10998,Devonport Domain,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,11247,Warkworth Service Centre & Library Grou.,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,20518,Manly Park,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard Spring,11201,Huapai Recreation Reserve,PLEQ-Seesaw-Standard Spring,
PLEQ-Seesaw-Standard-Blue-N,10932,Meadowood Reserve,PLEQ-Seesaw-Standard-Blue-N,
PLEQ-Seesaw-Standard-Double,22132,Cadness Loop,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-Double,11095,Elliott Reserve,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-Double,22208,Devonshire Reserve,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-Double,10924,Tui Park,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-Double,22185,Powrie Reserve,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-Double,22256,Camelot Reserve,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-Double,11099,Tamahere Reserve,PLEQ-Seesaw-Standard-Double,
PLEQ-Seesaw-Standard-E Side,22668,Millwater Park Playground Reserve,PLEQ-Seesaw-Standard-E Side,
PLEQ-Seesaw-Standard-Preschool,11088,Wairoa Road Reserve,PLEQ-Seesaw-Standard-Preschool,
PLEQ-Seesaw-Standard-Red-S,10932,Meadowood Reserve,PLEQ-Seesaw-Standard-Red-S,
PLEQ-Seesaw-Standard-Spring,11080,Seine Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,22406,D'Oyly/Stanmore Bay Weir Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,11143,Narrow Neck Beach,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,21090,Nile Reserve (Milford),PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,21156,Teviot Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,20569,Gilshennan Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,21045,Everard Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,20815,Celeste Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,22401,Hardley Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring,20956,Knightsbridge Reserve,PLEQ-Seesaw-Standard-Spring,
PLEQ-Seesaw-Standard-Spring-Octopus,23359,Northcote Shops,PLEQ-Seesaw-Standard-Spring-Octopus,
PLEQ-Seesaw-Standup Puppet,20332,Plymouth Reserve,PLEQ-Seesaw-Standup Puppet,
PLEQ-Seesaw-Standup Puppet,20006,Normanton Reserve,PLEQ-Seesaw-Standup Puppet,
PLEQ-Seesaw-West edge of p/grnd,10467,Omana Regional Park,PLEQ-Seesaw-West edge of p/grnd,
PLEQ-Senior modular,10591,Manukau Sports Bowl,PLEQ-Senior modular,
PLEQ-Senior Modular-NE path to p/grnd,20247,Cyril French Park,PLEQ-Senior Modular-NE path to p/grnd,
PLEQ-Setpping pods x39,21429,Sutton Park,PLEQ-Setpping pods x39,
PLEQ-Shockwave-Rocker,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-Shockwave-Rocker,
PLEQ-Skate Item,21152,Target Reserve,PLEQ-Skate Item,
PLEQ-Slide,21628,Roundtree Reserve,PLEQ-Slide,
PLEQ-Slide,22936,Macadamia Park (Melia Grove Reserve),PLEQ-Slide,
PLEQ-Slide,21540,Topland Park,PLEQ-Slide,
PLEQ-slide,11198,Takaanini Reserve (aka Taka Reserve),PLEQ-slide,
PLEQ-Slide,10167,Fairburn Reserve,PLEQ-Slide,
PLEQ-slide & platform,22240,Matakana Wharf Reserve,PLEQ-slide & platform,
PLEQ-Slide Module-hex tower&mega slide,11232,Algies Bay Reserve,PLEQ-Slide Module-hex tower&mega slide,
PLEQ-slide tunnel,23845,Swell Park,PLEQ-slide tunnel,
PLEQ-slide tunnel,23845,Swell Park,PLEQ-slide tunnel,
PLEQ-Slide-22001,10383,Murphy Park,PLEQ-Slide-22001,
PLEQ-Slide-Embankment,20447,Aramoana Reserve,PLEQ-Slide-Embankment,
PLEQ-Slide-Embankment,20924,Schopolo East,PLEQ-Slide-Embankment,
PLEQ-Slide-embankment double,24041,Lake Town Green,PLEQ-Slide-embankment double,
PLEQ-Slide-Embankment-Closed,20311,Northboro Reserve,PLEQ-Slide-Embankment-Closed,
PLEQ-Slide-Embankment-Double-Open,20856,Taurus Crescent Reserve,PLEQ-Slide-Embankment-Double-Open,
PLEQ-Slide-Embankment-Open,20351,Neptune Avenue Reserve,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Open,10931,Rosedale Park,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Open,22167,Monarch Park,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Open,22211,Durbin Reserve,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Open,10933,Kell Park,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Open,22324,George Deane Place Reserve,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Open,20749,Jamie Hansen Park,PLEQ-Slide-Embankment-Open,
PLEQ-Slide-Embankment-Tunnel,20853,Luckens Reserve,PLEQ-Slide-Embankment-Tunnel,
PLEQ-Slide-Embankment-Tunnel,11211,Wellsford Centennial Park,PLEQ-Slide-Embankment-Tunnel,
PLEQ-Slide-Jnr-Open,22489,Da Vinci Park,PLEQ-Slide-Jnr-Open,
PLEQ-Slide-northern end of reserve,20907,Clavoy Park,PLEQ-Slide-northern end of reserve,
PLEQ-Slide-Stand Alone,20007,Windsor Reserve,PLEQ-Slide-Stand Alone,
PLEQ-Slide-Stand Alone,22152,Sherwood Reserve,PLEQ-Slide-Stand Alone,
PLEQ-Slide-Stand Alone,21968,Sanders Reserve,PLEQ-Slide-Stand Alone,
PLEQ-Slide-Stand Alone,20074,Waiake Beach Reserve,PLEQ-Slide-Stand Alone,
PLEQ-Slide-Stand alone on bank,22787,John Walker Park,PLEQ-Slide-Stand alone on bank,
PLEQ-Slide-Stand Alone-Dble-Open,11099,Tamahere Reserve,PLEQ-Slide-Stand Alone-Dble-Open,
PLEQ-Slide-Stand Alone-Dble-Open & Tunne,12941,Allenby Reserve - Narrow Neck,PLEQ-Slide-Stand Alone-Dble-Open & Tunne,
PLEQ-Slide-Stand Alone-Dble-Open & Tunne,22471,Muriwai Beach Playground (DOC),PLEQ-Slide-Stand Alone-Dble-Open & Tunne,
PLEQ-Slide-Stand Alone-Double,20026,Bath Street Reserve,PLEQ-Slide-Stand Alone-Double,
PLEQ-Slide-Stand Alone-Open,21152,Target Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,21368,Hobsonville Point Park,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22199,Stanaway Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,21156,Teviot Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,10924,Tui Park,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,10941,Nell Fisher Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22185,Powrie Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22098,Cairnbrae Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22161,Lynn Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,21863,Pin Oak Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,20815,Celeste Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22189,Sapphire Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,20287,Kiwi Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22194,Centorian Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,20291,Lansdowne Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,11104,Hinemoa Park,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22221,Linley Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22158,Locket Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22223,Exeter Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22208,Devonshire Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open,22256,Camelot Reserve,PLEQ-Slide-Stand Alone-Open,
PLEQ-Slide-Stand Alone-Open & Car,22197,Spinella Reserve,PLEQ-Slide-Stand Alone-Open & Car,
PLEQ-Slide-Stand Alone-Preschool,11066,Kennedy Park,PLEQ-Slide-Stand Alone-Preschool,
PLEQ-Slide-Stand Alone-Spiral,11143,Narrow Neck Beach,PLEQ-Slide-Stand Alone-Spiral,
PLEQ-Slide-Stand Alone-Triple,10930,Wainoni Park North,PLEQ-Slide-Stand Alone-Triple,
PLEQ-Slide-Stand Alone-Tunnel,20299,Melrose Reserve,PLEQ-Slide-Stand Alone-Tunnel,
PLEQ-Slide-Tunnel,11247,Warkworth Service Centre & Library Grou.,PLEQ-Slide-Tunnel,
PLEQ-Slides,21429,Sutton Park,PLEQ-Slides,
PLEQ-Small modular,20283,Wintere Park,PLEQ-Small modular,
PLEQ-Small modular,22936,Macadamia Park (Melia Grove Reserve),PLEQ-Small modular,
PLEQ-Small roundabout,10719,William Green Domain,PLEQ-Small roundabout,
PLEQ-Snr climber with panels,22304,Bronzewing Reserve,PLEQ-Snr climber with panels,
PLEQ-Soccer Play Backstop,10931,Rosedale Park,PLEQ-Soccer Play Backstop,
PLEQ-Soccer Play Backstop - W,21863,Pin Oak Reserve,PLEQ-Soccer Play Backstop - W,
PLEQ-Soccer Play Target,10931,Rosedale Park,PLEQ-Soccer Play Target,
PLEQ-Soccer slalom,10931,Rosedale Park,PLEQ-Soccer slalom,
PLEQ-Spacenet,10924,Tui Park,PLEQ-Spacenet,
PLEQ-Spacenet,20924,Schopolo East,PLEQ-Spacenet,
PLEQ-Spacenet,11066,Kennedy Park,PLEQ-Spacenet,
PLEQ-Spacenet,22132,Cadness Loop,PLEQ-Spacenet,
PLEQ-Spacenet,20311,Northboro Reserve,PLEQ-Spacenet,
PLEQ-Spacenet,11138,Kaipatiki Park,PLEQ-Spacenet,
PLEQ-Spacenet,10931,Rosedale Park,PLEQ-Spacenet,
PLEQ-Spacenet,22286,Glen Bay Close Reserve,PLEQ-Spacenet,
PLEQ-Spacenet,11096,Marlborough Park,PLEQ-Spacenet,
PLEQ-Spacenet,22308,Warkworth Showgrounds,PLEQ-Spacenet,
PLEQ-Spacenet & Slide,21863,Pin Oak Reserve,PLEQ-Spacenet & Slide,
PLEQ-Spacenet Swing Trampoline,20074,Waiake Beach Reserve,PLEQ-Spacenet Swing Trampoline,
PLEQ-Spacenet-Beach,11275,Stanmore Bay Park,PLEQ-Spacenet-Beach,
PLEQ-Spatial Nets,21392,Alice Park,PLEQ-Spatial Nets,
PLEQ-Sping dolphin,10619,Walter Massey Park,PLEQ-Sping dolphin,
PLEQ-Spinner,20434,Yates Park,PLEQ-Spinner,
PLEQ-Spinner,24041,Lake Town Green,PLEQ-Spinner,
PLEQ-Spinner,21715,Cargill Reserve,PLEQ-Spinner,
PLEQ-Spinner,10619,Walter Massey Park,PLEQ-Spinner,
PLEQ-spinner,23845,Swell Park,PLEQ-spinner,
PLEQ-Spinner,10167,Fairburn Reserve,PLEQ-Spinner,
PLEQ-spinner,22304,Bronzewing Reserve,PLEQ-spinner,
PLEQ-Spinner mice,20294,Cross Street Reserve,PLEQ-Spinner mice,
PLEQ-Spinner Plate-NW-Sthn Swing,11273,Orewa Reserve,PLEQ-Spinner Plate-NW-Sthn Swing,
PLEQ-Spinner Plate-SE-Sthn Swing,11273,Orewa Reserve,PLEQ-Spinner Plate-SE-Sthn Swing,
PLEQ-spinner pole small,22304,Bronzewing Reserve,PLEQ-spinner pole small,
PLEQ-Spinner roundabout,10619,Walter Massey Park,PLEQ-Spinner roundabout,
PLEQ-Spinner-Bowl,22161,Lynn Reserve,PLEQ-Spinner-Bowl,
PLEQ-Spinner-Bowl,21156,Teviot Reserve,PLEQ-Spinner-Bowl,
PLEQ-Spinner-Bowl-Blue,23359,Northcote Shops,PLEQ-Spinner-Bowl-Blue,
PLEQ-Spinner-Bowl-Blue,22074,Bayside Drive,PLEQ-Spinner-Bowl-Blue,
PLEQ-Spinner-Bowl-Blue,11058,Okura Reserve,PLEQ-Spinner-Bowl-Blue,
PLEQ-Spinner-Bowl-Blue,23464,Sunnynook Square,PLEQ-Spinner-Bowl-Blue,
PLEQ-Spinner-Bowl-Blue-Centre,10933,Kell Park,PLEQ-Spinner-Bowl-Blue-Centre,
PLEQ-Spinner-Bowl-Blue-E,10933,Kell Park,PLEQ-Spinner-Bowl-Blue-E,
PLEQ-Spinner-Bowl-Blue-W,10933,Kell Park,PLEQ-Spinner-Bowl-Blue-W,
PLEQ-Spinner-Bowl-Centre-Jnr area Beach,11275,Stanmore Bay Park,PLEQ-Spinner-Bowl-Centre-Jnr area Beach,
PLEQ-Spinner-Bowl-N-Jnr area Beach,11275,Stanmore Bay Park,PLEQ-Spinner-Bowl-N-Jnr area Beach,
PLEQ-Spinner-Bowl-NE,21368,Hobsonville Point Park,PLEQ-Spinner-Bowl-NE,
PLEQ-Spinner-Bowl-Red,22095,Lysander Crescent Reserve,PLEQ-Spinner-Bowl-Red,
PLEQ-Spinner-Bowl-Red,22189,Sapphire Reserve,PLEQ-Spinner-Bowl-Red,
PLEQ-Spinner-Bowl-Red,22489,Da Vinci Park,PLEQ-Spinner-Bowl-Red,
PLEQ-Spinner-Bowl-Red-1 East,10930,Wainoni Park North,PLEQ-Spinner-Bowl-Red-1 East,
PLEQ-Spinner-Bowl-Red-2,10930,Wainoni Park North,PLEQ-Spinner-Bowl-Red-2,
PLEQ-Spinner-Bowl-Red-3,10930,Wainoni Park North,PLEQ-Spinner-Bowl-Red-3,
PLEQ-Spinner-Bowl-Red-4,10930,Wainoni Park North,PLEQ-Spinner-Bowl-Red-4,
PLEQ-Spinner-Bowl-Red-5,10930,Wainoni Park North,PLEQ-Spinner-Bowl-Red-5,
PLEQ-Spinner-Bowl-Red-6 West,10930,Wainoni Park North,PLEQ-Spinner-Bowl-Red-6 West,
PLEQ-Spinner-Bowl-Red-centre,11066,Kennedy Park,PLEQ-Spinner-Bowl-Red-centre,
